Acanthaceae,16
Acanthus dioscoridis L.,
Acanthus sp.,
Adoxaceae,12
Sambucus ebulus L.,
Sambucus nigra L.,
Viburnum lantana L.,
Amaranthaceae,3
Chenopodium foliosum (Moench) Asch.,
Amaryllidaceae,25
Allium rotundum L. (sin. Allium ampeloprasum L.),
Allium sp.,
Anacardiaceae,29
Cotinus coggygria Scop.,
Rhus coriaria L.,
Rhus sp.,
Apiaceae,14
Eryngium campestre L.,
Ferula orientalis L.,
Malabaila lasiocarpa Boiss.,
Lecokia cretica (Lam.) DC.,
Apiaceae,
Eryngium campestre,
Pimpinella sp.,
Asparagaceae,6
Leopoldia tenuiflora (Tausch) Heldr. (sin. Muscari tenuiflorum Tausch),
Ornithogalum narbonense L.,
Asteraceae,0
Achillea arabica Kotschy,
Achillea millefolium L.,
Achillea vermicularis Trin.,
Anthemis cretica L.,
Arctium minus (Hill) Bernh.,
Artemisia absinthium L.,
Bellis perennis L.,
Carduus nutans L.,
Centaurea bingoelensis Behçet & İlçim*,
Centaurea iberica Trev. ex Spreng.,
Centaurea kurdica Reichardt*,
Centaurea saligna (K.Koch) Wagenitz*,
Centaurea solstitialis  L.,
Centaurea spectabilis (Fisch. & C.A.Mey.) Sch.Bip.,
Centaurea urvillei DC.,
Centaurea virgata Lam.,
Chondrilla brevirostris Fisch. & C.A.Mey. (sin. Chondrilla juncea L.),
Cichorium intybus L.,
Cirsium arvense (L.) Scop,
Cirsium yildizianum Arabacı & Dirmenci*,
Cota altissima (L.) J.Gay,
Crepis sancta (L.) Bornm.,
Cyanus triumfettii (All.) Dostál ex Á.Löve & D.Löve,
Echinops pungens Trautv.,
Gundelia tournefortii L.,
Helichrysum arenarium (L.) Moench.,
Helichrysum plicatum DC.,
Iranecio eriospermus (DC.) C. Jeffrey (sin. Senecio eriospermus DC.),
Matricaria chamomilla L.,
Onopordum acanthium L.,
Scorzonera latifolia (Fisch. & C.A.Mey.) DC.,
Tanacetum balsamita L.,
Tanacetum zahlbruckneri (Náb.) Grierson*,
Taraxacum campylodes G.E.Haglund (sin. Taraxacum officinale (L.) Weber ex F.H.Wigg.),
Tussilago farfara L.,
Xeranthemum annuum L.,
Xeranthemum longipapposum Fisch. & C.A.Mey,
Asteraceae,
Artemisia sp.,
Carduus sp.,
Centaurea sp.,
Cichorium sp.,
Cirsium sp.,
Cirsium yildizianum,
Echinops sp.,
Gundelia sp.,
Helianthus sp.,
Helichrysum sp.,
Onopordum sp.,
Ptilostemon sp.,
Xanthium sp.,
Xeranthemum sp.,
Boraginaceae,55
Alkanna orientalis (L.) Boiss.,
Anchusa azurea Mill.,
Anchusa leptophylla  Roem. & Schult.,
Cerinthe minor L.,
Echium italicum L.,
Myosotis alpestris F.W.Schmidt,
Myosotis laxa Lehm.,
Myosotis stricta Roem. & Schult.,
Myosotis sylvatica subsp. cyanea (Hayek) Vestergr.,
Phyllocara aucheri (A.DC.) Guşul.,
Anchusa sp.,
Echium sp.,
Brassicaceae,20
Aethionema grandiflorum Boiss. & Hohen.,
Capsella bursa-pastoris (L.) Medik.,
Isatis glauca Aucher ex Boiss.,
Lepidium draba L.,
Raphanus raphanistrum L.,
Campanulaceae,50
Campanula involucrata Aucher ex A.DC.,
Campanula propinqua Fisch. & C.A.Mey.,
Campanula stricta L.var. stricta,
Campanula sp.,
Caprifoliaceae,70
Centranthus longiflorus Steven,
Morina persica L.,
Scabiosa columbaria L.,
Scabiosa rotata M. Bieb.,
Cephalaria sp.,
Scabiosa sp.,
Valeriana sp.,
Caryophyllaceae,31
Cerastium armeniacum Gren.*,
Saponaria prostrata Willd.,
Saponaria viscosa C.A.Mey.,
Silene compacta Fisch.,
Silene spergulifolia (Desf.) M.Bieb,
Caryophyllaceae,
Dianthus sp.,
Silene sp.,
Chenopodiaceae,11
Chenopodium sp.,
Convolvulaceae,12
Convolvulus arvensis L.,
Convolvulus galaticus Rost. ex Choisy,
Convolvulus lineatus L.,
Convolvulus sp.,
Cornaceae,4
Cornus sanguinea L.,
Crassulaceae,4
Phedimus obtusifolius (C.A.Mey.) Hart,
Elaeagnaceae,4
Elaeagnus angustifolia L.,
Euphorbiaceae,8
Euphorbia esula L. subsp. tommasiniana (Bertol.) Kuzmanov,
Euphorbia macrocarpa Boiss. & Buhse,
Euphorbia sp.,
Fabaceae,297
Astracantha gummifera (Labill.) Podlech (sin. Astragalus gummifer Labill.),
Astracantha kurdica (Boiss.) Podlech (sin. Astragalus kurdicus Boiss.),
Astracantha muschiana (Kotschy & Boiss.) Podlech (sin. Astragalus muschianus Kotschy & Boiss. ex Boiss.),
Astragalus aduncus Willd. (sin: Astragalus bingollensis Podlech.),
Astragalus bustillosii Clos (sin. Astragalus brachycalyx subsp. brachycalyx Fisch. ex Boiss.),
Astragalus caspicus M.Bieb.,
Astrgalus lagopoides Lam,
Astragalus onobrychis L.,
Astragalus oocephalus Boiss.,
Astragalus pinetorum Boiss.,
Astragalus saganlugensis Trautv.,
Astragalus topalanense İlçim & Behçet *,
Colutea cilicica Boiss. & Balansa,
Genista aucheri Boiss.*,
Glycyrrhiza glabra L.,
Lathyrus brachypterus Čelak.*,
Lathyrus satdaghensis P.H.Davis*,
Lotus corniculatus L.,
Lotus gebelia Vent.,
Hedysarum varium Willd.,
